Month_G,Max_Price_Clean,Min_Price_Clean,Avg_Price_Clean,Price_Range,Trend
2016-03,1272.8,1220.1,1246.455,52.7,Normal
2016-04,1290.5,1219.3,1243.84285714286,71.2,Normal
2016-05,1295.8,1216.7,1260.54285714286,79.0999999999999,Normal
2016-06,1326.9,1212.6,1279.19090909091,114.3,Normal
2016-07,1367.1,1319.3,1339.07,47.8,Normal
2016-08,1372.6,1311.4,1344.48260869565,61.1999999999998,Normal
2016-09,1354,1310.2,1329.60952380952,43.8,Normal
2016-10,1312.7,1251.9,1266.04761904762,60.8,Normal
2016-11,1308.2,1173.9,1236.28571428571,134.3,Normal
2016-12,1177.8,1129.8,1153.55238095238,48,Normal
2017-01,1215.6,1162,1194.31,53.5999999999999,Normal
2017-02,1258.8,1208.3,1236.23684210526,50.5,Normal
2017-03,1255.7,1200.7,1231.25217391304,55,Normal
2017-04,1294.1,1248.5,1269.25,45.5999999999999,Normal
2017-05,1275.4,1216.1,1246,59.3000000000002,Normal
2017-06,1297.5,1242.3,1262.15294117647,55.2,Normal
2017-07,1279.4,1209.7,1239.6125,69.7,Normal
2017-08,1330.4,1262.6,1292.16842105263,67.8000000000002,Normal
2017-09,1351.2,1284.8,1315.86666666667,66.4000000000001,Normal
2017-10,1304.6,1269.6,1281.63888888889,35,Normal
2017-11,1296.5,1269.2,1282.65294117647,27.3,Normal
2017-12,1309.3,1241.7,1267.9,67.5999999999999,Normal
2018-01,1362.9,1313.7,1334.78235294118,49.2,Normal
2018-02,1358,1305.2,1330.18666666667,52.8,Normal
2018-03,1349.9,1311.9,1326.54375,38,Normal
2018-04,1360,1306.8,1337.16470588235,53.2,Normal
2018-05,1322.3,1289.4,1303.63333333333,32.8999999999999,Normal
2018-06,1308.3,1251,1282.0375,57.3,Normal
2018-07,1258.8,1223,1237.24705882353,35.8,Normal
2018-08,1223.2,1184,1206.86666666667,39.2,Normal
2018-09,1211.3,1187.4,1202.66666666667,23.8999999999999,Normal
2018-10,1238.6,1191.5,1220.2,47.0999999999999,Normal
2018-11,1233.3,1201.4,1221.08125,31.8999999999999,Normal
2018-12,1283,1241.4,1255.10714285714,41.5999999999999,Normal
2019-01,1325.2,1279.8,1295.65294117647,45.4000000000001,Normal
2019-02,1347.9,1299.2,1320.32666666667,48.7,Normal
2019-03,1315,1284.7,1300.63125,30.3,Normal
2019-04,1313.9,1273.2,1288.95882352941,40.7,Normal
2019-05,1311.1,1272,1285.28235294118,39.0999999999999,Normal
2019-06,1418.7,1328.7,1366.475,90,Normal
2019-07,1441.8,1400.1,1418.97222222222,41.7,Normal
2019-08,1551.8,1457.5,1518.86470588235,94.3,Normal
2019-09,1560.4,1489,1514.01875,71.4000000000001,Normal
2019-10,1514.8,1483.5,1500.92631578947,31.3,Normal
2019-11,1493.1,1453.7,1468.96666666667,39.3999999999999,Normal
2019-12,1523.1,1465.1,1485.33333333333,58,Normal
2020-01,1586.5,1544.6,1562.78636363636,41.9000000000001,Normal
2020-02,1673.5,1552.7,1597.44,120.8,Normal
2020-03,1675.7,1477.9,1596.65454545455,197.8,Normal
2020-04,1759.1,1584.1,1698.69047619048,175,Normal
2020-05,1756.3,1688.5,1721.21428571429,67.8,Normal
2020-06,1800.5,1678.5,1738.54545454545,122,Normal
2020-07,1968,1779.9,1848.04782608696,188.1,Normal
2020-08,2054.6,1912.5,1968.43333333333,142.1,Normal
2020-09,1970.8,1857.8,1922.96818181818,113,Normal
2020-10,1925.7,1868,1902.14545454546,57.7,Normal
2020-11,1951.7,1778,1863.28571428571,173.7,Normal
2020-12,1895.1,1816.6,1860.63636363636,78.5,Normal
2021-01,1954.4,1829.9,1864.91,124.5,Normal
2021-02,1862.2,1728.8,1806.04,133.4,Normal
2021-03,1741.7,1678,1719.89565217391,63.7,Normal
2021-04,1792.7,1727.3,1760.13333333333,65.4000000000001,Normal
2021-05,1905,1776,1853.47619047619,129,Normal
2021-06,1908.7,1763.6,1834.80909090909,145.1,Normal
2021-07,1832.3,1776.8,1805.54090909091,55.5,Normal
2021-08,1818.7,1723.8,1785.64090909091,94.9000000000001,Normal
2021-09,1831.5,1722.2,1777.21363636364,109.3,Normal
2021-10,1806.2,1755.1,1776.84285714286,51.1000000000001,Normal
2021-11,1870.2,1763.9,1818.50454545455,106.3,Normal
2021-12,1828.6,1761.6,1791.69090909091,67,Normal
2022-01,1852.5,1785.8,1816.67142857143,66.7,Normal
2022-02,1925.4,1800.8,1859.15789473684,124.6,Normal
2022-03,2043.3,1909.2,1950.65263157895,134.1,Normal
2022-04,1983.6,1885.8,1934.62666666667,97.8,Normal
2022-05,1875.7,1814,1846.99411764706,61.7,Normal
2022-06,1868.4,1807.3,1833.57058823529,61.1000000000001,Normal
2022-07,1763.9,1700.2,1725.51333333333,63.7,Normal
2022-08,1798.5,1716.9,1764.26315789474,81.5999999999999,Normal
2022-09,1730.8,1623.6,1679.65625,107.2,Normal
2022-10,1725.5,1629,1669.83529411765,96.5,Normal
2022-11,1776.9,1630.9,1727.17058823529,146,Normal
2022-12,1826,1774.3,1800.39375,51.7,Normal
2023-01,1942.6,1840.6,1901.36875,102,Normal
2023-02,1934.3,1818.8,1859.78666666667,115.5,Normal
2023-03,1995.9,1818.6,1913.75,177.3,Normal
2023-04,2045.8,1986.9,2006.74,58.8999999999999,High Price
2023-05,2055.7,1943.7,2000.19444444444,112,High Price
2023-06,1986.5,1913.4,1946.19375,73.0999999999999,Normal
2023-07,1980.8,1915.4,1954.7375,65.3999999999999,Normal
2023-08,1954,1887.2,1923.62105263158,66.8,Normal
2023-09,1948.6,1869.5,1917.42,79.0999999999999,Normal
2023-10,2005.6,1823.2,1916.93888888889,182.4,Normal
2023-11,2057.5,1950.2,1992.42352941176,107.3,Normal
2023-12,2083.5,1983.9,2033.82,99.5999999999999,High Price
2024-01,2073.4,2006.5,2031.98235294118,66.9000000000001,High Price
2024-02,2061.2,1994.7,2029.55,66.4999999999998,High Price
2024-03,2201.4,2126.3,2167.95333333333,75.0999999999999,High Price
2024-04,2395.5,2245.9,2334.06666666667,149.6,High Price
2024-05,2438.5,2309.6,2356.98823529412,128.9,High Price
2024-06,2378.9,2301,2334.07333333333,77.9000000000001,High Price
2024-07,2467.8,2333.4,2399.6,134.4,High Price
2024-08,2536.7,2398.9,2472.38235294118,137.8,High Price
2024-09,2670.4,2499.7,2575.46875,170.7,High Price
2024-10,2800.8,2614.1,2695.2,186.7,High Price
2024-11,2749.7,2572.9,2648.38,176.8,High Price
